reservation_line_id,reservation_number,reservation_line_number,reservation_creation_date,reservation_requirement_date,part_number,description,open_reservation_qty,open_reservation_value,reservation_status,reservation_source,wbs_number,requester_alias,plant_code,po_number,po_line_number,po_line_item_id,asset_code,asset_serial_number
6084953472-9,6084953472,9,2025-10-31,2025-10-31,H650585,"MARBLE, TEST BLOCK, MSCT-AA",10.0,869.3000000000001,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584596466,13,4584596466-13,,
6084953513-3,6084953513,3,2025-10-31,2025-10-31,P678962,HIGH TEMP  DESSICANT       BAG 30  GRAMS,30.0,458.448,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584596466,5,4584596466-5,,
6084953513-5,6084953513,5,2025-10-31,2025-10-31,P783481,"HIGH TEMP DESSICANT BAG 8 GRAMS, SQUARE",50.0,562.1300000000001,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584596463,1,4584596463-1,,
6084953513-1,6084953513,1,2025-10-31,2025-10-31,100130918,"BAG, 18G (+/-1G) DESICCANT, MDT-X ELECT~",20.0,1079.6,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584596466,3,4584596466-3,,
6084953513-4,6084953513,4,2025-10-31,2025-10-31,100416290,"BAG, DESICCANT, MREL ELECTRONICS, 8 GRA~",30.0,1687.185,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584596466,4,4584596466-4,,
6084953463-16,6084953463,16,2025-10-31,2025-10-31,101641963,"SEAL KIT, ORA, OPMK 7 INCH, RCM-200 (FK~",2.0,1102.8200000000002,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596462,1,4584596462-1,,
6084953463-11,6084953463,11,2025-10-31,2025-10-31,102828689,"KIT,SEAL,SLS-1,XP1 RCM-200 FDTCH, FDPSH,",4.0,223.2172,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596466,28,4584596466-28,,
6084953463-15,6084953463,15,2025-10-31,2025-10-31,102909985,"KIT, SLS-1 FOR RCM-200, SAMPLE CAPTURE,",2.0,1227.976,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596466,31,4584596466-31,,
6084953463-12,6084953463,12,2025-10-31,2025-10-31,102988267,"KIT,SEAL, SLS-1 FOR RCM-200, FNFM",4.0,1401.0236,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596466,18,4584596466-18,,
6084953463-18,6084953463,18,2025-10-31,2025-10-31,103250388,"KIT, SEAL, SLS-1 for RCM-200, FCIE-PAA-~",4.0,564.1668,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596466,30,4584596466-30,,
6084953463-14,6084953463,14,2025-10-31,2025-10-31,103305664,"KIT, SEAL, SLS-1 for RCM-200, FISO",2.0,811.2628,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596466,24,4584596466-24,,
6084953463-17,6084953463,17,2025-10-31,2025-10-31,103380993,"KIT, SEAL,SLS-1,RCM-200,FIIMU-RAA/FIIML~",4.0,1708.3660000000002,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596466,27,4584596466-27,,
6084953472-3,6084953472,3,2025-10-31,2025-10-31,104602853,"SCREW, FHM 8-32 X 7/16 SST, HEX DRIVE",100.0,44.89000000000001,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584596463,3,4584596463-3,,
6084953513-2,6084953513,2,2025-10-31,2025-10-31,P678961,HIGH TEMP  DESSICANT       BAG 20 GRAMS,50.0,656.96,04. PO Available to Peg,SAP - MANUAL Reservation,,SANTOSO,3606,4584596466,6,4584596466-6,,
6084953472-8,6084953472,8,2025-10-31,2025-10-31,101103178,"CORE BOX ASSY, 25",10.0,1175.9,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584596466,7,4584596466-7,,
6084953463-13,6084953463,13,2025-10-31,2025-10-31,101915781,"KIT, SEAL, XP1, FMDU-AAA, FTNG FLOW MAN~",2.0,1286.0582,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.138500,FHERWANTO,3606,4584596466,19,4584596466-19,,
6084953472-1,6084953472,1,2025-10-31,2025-10-31,100801562,"CASCON CM, SEAL KIT, BRONZE/440C",4.0,6567.3788,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584596699,4,4584596699-4,,
6084953472-5,6084953472,5,2025-10-31,2025-10-31,101138803,"CASCON CM, INTERNAL SHAFT",2.0,3323.1586,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584596699,3,4584596699-3,,
6084953472-7,6084953472,7,2025-10-31,2025-10-31,101246752,"SHAFT, PERFORATED, 2800/3300, CORING",2.0,2092.18,04. PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,4584596699,2,4584596699-2,,
6084953472-6,6084953472,6,2025-10-31,2025-10-31,102876085,"CORE CATCHER RING, 1.0 IN DIA, WEAR NOT~",5.0,2967.6,05. No PO Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,,,,,
6084881074-4,6084881074,4,2025-10-30,2025-10-30,100347606,"RING:RETAINING;CUSTOM,AH-141,1.9 IN,1.63",10.0,916.091,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-3,6084881074,3,2025-10-30,2025-10-30,100347612,"RETAINING RING, EXT 1.625 SHAFT SST TRUA",10.0,45.09100000000001,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-13,6084881074,13,2025-10-30,2025-10-30,101552526,WASHER LOCK .375 STD,40.0,294.8,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-7,6084881074,7,2025-10-30,2025-10-30,B031440,"LOCKWASHER, .44 DIA",20.0,64.2,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-8,6084881074,8,2025-10-30,2025-10-30,B031447,"LINE;RBR,7-46 CBL",20.0,842.7260000000001,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-11,6084881074,11,2025-10-30,2025-10-30,B039114,"SCREW, SHEAR 2000 LBS. 5/8-11 X 1.575L",6.0,678.4554,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-12,6084881074,12,2025-10-30,2025-10-30,B039115,"SCREW, SHEAR 2500 LBS. 5/8-11 X 1.575L",6.0,678.4554,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-10,6084881074,10,2025-10-30,2025-10-30,B039136,BACK UP RING SIZE 351 4.778 ID X .183 W~,20.0,107.334,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-2,6084881074,2,2025-10-30,2025-10-30,B040080,"SCREW:CAP;SCKT,0.25 IN-20 TPI,0.4375 IN",25.0,97.485,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-5,6084881074,5,2025-10-30,2025-10-30,T5011155,"BOOT, .48 I.D.,STEEL, AH-141",2.0,1274.8224,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-14,6084881074,14,2025-10-30,2025-10-30,T5011471,"CLAMP PLATE, ASSY, F/.46 CABLE, STANDARD",5.0,3777.192,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-9,6084881074,9,2025-10-30,2025-10-30,B031271,"BALL, 5/8""",10.0,96.8,05. No PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,,,,,
6084881074-6,6084881074,6,2025-10-30,2025-10-30,B031273,"LOCK WASHER, SILICONE BRONZE 3/8""ID X 1~",40.0,133.732,04. PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,4584639428,2,4584639428-2,,
6084881074-1,6084881074,1,2025-10-30,2025-10-30,T5011315,"RING;LATCH,LOWER,1.9 IN DIA,PWCH-HA",5.0,521.796,04. PO Available to Peg,SAP - MANUAL Reservation,,Benet,3606,4584639375,1,4584639375-1,,
6084878338-1,6084878338,1,2025-10-29,2025-10-29,B015518,"OIL,CAPELLA B    TEXACO  WF32",6.0,226.4868,04. PO Available to Peg,SAP - MANUAL Reservation,,AROW2,3610,4584573294,2,4584573294-2,,
6084777008-2,6084777008,2,2025-10-28,2025-10-28,100166524,PACKER,8.0,454.96,02. SOH available to Partial Pegging - PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,4584573252,2,4584573252-2,,
6084777008-1,6084777008,1,2025-10-28,2025-10-28,100166525,"PACKER, 4.0 R",3.0,193.8366,04. PO Available to Peg,SAP - MANUAL Reservation,,ckok3,3650,4584573252,1,4584573252-1,,
6084777296-2,6084777296,2,2025-10-28,2025-11-29,101589478,"KIT, REPLACEMENT PARTS FOR PAD WEAR, FB~",4.0,16904.4216,04. PO Available to Peg,MAXIMO,,02785368,3610,4584576734,1,4584576734-1,,
6084799612-1,6084799612,1,2025-10-28,2025-12-31,106019461,9701056449-2 - WELLHEAD FLANGE ADAPTER A,2.0,15037.6944,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584620992,1,4584620992-1,,
6084799612-2,6084799612,2,2025-10-28,2025-12-31,106019462,18079615-001 -LIFT BAIL/TEST FLANGE ASSY,1.0,7816.22,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584620992,2,4584620992-2,,
6084777296-1,6084777296,1,2025-10-28,2025-11-29,P673546,FLAPPER PAD (BONDING-WIRING-OVERMOLDING),4.0,16425.398,04. PO Available to Peg,MAXIMO,,02785368,3610,4584576739,1,4584576739-1,,
6084729257-1,6084729257,1,2025-10-27,2025-10-27,102007194,"WIPES, LINT-FREE",50.0,12496.765,04. PO Available to Peg,SAP - MANUAL Reservation,,Jerico,3606,4584553827,5,4584553827-5,,
6084574473-7,6084574473,7,2025-10-24,2025-10-24,103066871,O-RING KIT FOR EQUALIZING BLOCK NE-080-A,12.0,483.9276,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584624044,1,4584624044-1,,
6084574470-2,6084574470,2,2025-10-24,2025-10-24,104727971,"Inner Seal, 2-3/8"" Coil, 7"" BOP",6.0,10456.02,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,PETTENGELL,3606,4584624044,2,4584624044-2,,
6084574470-5,6084574470,5,2025-10-24,2025-10-24,104727972,"OUTER SEAL, 7-1/16 IN BOP NE-080-700-OUT",16.0,5621.568,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,PETTENGELL,3606,4584592638,5,4584592638-5,,
6084574473-4,6084574473,4,2025-10-24,2025-10-24,104921383,"SHEAR/BLIND, 7 IN BOP, TRIDENT, DOWN NE-",5.0,8783.7,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584592638,2,4584592638-2,,
6084574473-3,6084574473,3,2025-10-24,2025-10-24,104921384,"SHEAR/BLIND, 7 IN BOP, TRIDENT, UP NE-08",5.0,8783.7,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584592638,3,4584592638-3,,
6084574470-1,6084574470,1,2025-10-24,2025-10-24,105012499,"Combi Rubber Spacer, 7"" BOP, HNBR 80D",6.0,2994.096,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,PETTENGELL,3606,4584592638,8,4584592638-8,,
6084574473-6,6084574473,6,2025-10-24,2025-10-24,106023387,"O-Ring, 448 HSN 70D",16.0,391.0656,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584624044,3,4584624044-3,,
6084574473-2,6084574473,2,2025-10-24,2025-10-24,104727971,"Inner Seal, 2-3/8"" Coil, 7"" BOP",10.0,17426.7,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584624044,4,4584624044-4,,
6084574473-5,6084574473,5,2025-10-24,2025-10-24,104727972,"OUTER SEAL, 7-1/16 IN BOP NE-080-700-OUT",20.0,7026.96,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584592638,1,4584592638-1,,
6084574470-4,6084574470,4,2025-10-24,2025-10-24,104921383,"SHEAR/BLIND, 7 IN BOP, TRIDENT, DOWN NE-",3.0,5270.22,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,PETTENGELL,3606,4584592638,6,4584592638-6,,
6084574470-3,6084574470,3,2025-10-24,2025-10-24,104921384,"SHEAR/BLIND, 7 IN BOP, TRIDENT, UP NE-08",3.0,5270.22,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,PETTENGELL,3606,4584592638,7,4584592638-7,,
6084574473-1,6084574473,1,2025-10-24,2025-10-24,105012499,"Combi Rubber Spacer, 7"" BOP, HNBR 80D",10.0,4990.16,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584592638,4,4584592638-4,,
6084574470-6,6084574470,6,2025-10-24,2025-10-24,106023387,"O-Ring, 448 HSN 70D",10.0,244.416,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,PETTENGELL,3606,4584624044,3,4584624044-3,,
6084520324-2,6084520324,2,2025-10-22,2025-11-13,100127628,POWER SUPPLY ASS'Y +5VA +5VL +12VR,1.0,10208.4416,05. No PO Available to Peg,MAXIMO,,80058047,3606,,,,,
6084520324-1,6084520324,1,2025-10-22,2026-01-21,100157942,USAC101 PC BOARD ASSY,1.0,3166.6926,05. No PO Available to Peg,MAXIMO,,80058047,3606,,,,,
6084495540-1,6084495540,1,2025-10-22,2025-11-05,H431790,"PWA, RSLVR SNSR",1.0,253.2233,04. PO Available to Peg,MAXIMO,,00821967,3606,4584596843,2,4584596843-2,,
6084495540-2,6084495540,2,2025-10-22,2025-11-05,H433703,DC MOTOR,1.0,7442.7888,04. PO Available to Peg,MAXIMO,,00821967,3606,4584597032,1,4584597032-1,,
6084495540-3,6084495540,3,2025-10-22,2025-11-05,H70658A,"PCB;1.38 IN,WIRNG ASSY,HALL EFFECT SNSR",1.0,701.0813,01. SOH Available to Peg,MAXIMO,,00821967,3606,,,,,
6084495540-4,6084495540,4,2025-10-22,2025-11-05,H70672A,"ASSEMBLY, PWB, PISTON SENSOR II",1.0,239.0158,01. SOH Available to Peg,MAXIMO,,00821967,3606,,,,,
6084422765-1,6084422765,1,2025-10-21,2025-10-21,101343607,"SHOULDER SET PLUG, FNST",2.0,62.10900000000001,01. SOH Available to Peg,SAP - MANUAL Reservation,,FHERWANTO,3606,,,,,
6084372857-1,6084372857,1,2025-10-20,2025-10-20,B079805,"SEAL 6"" O-RING VITON FOR WECO FIG 206.",110.0,2983.1670000000004,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.006683,Daniel,3606,4584584533,1,4584584533-1,,
6084348838-1,6084348838,1,2025-10-19,2026-01-19,100512519,"HEAD, LOWER, MRBA, Ti, SEALED FIELD JOIN",1.0,1756.74,05. No PO Available to Peg,MAXIMO,,00821967,3606,,,,,
6084348727-1,6084348727,1,2025-10-19,2025-10-19,102900675,"CIRCUIT BOARD, FSU PRE-AMPLIFIER",1.0,2123.5851,05. No PO Available to Peg,SAP - MANUAL Reservation,,Radinegara,3606,,,,,
6084185906-1,6084185906,1,2025-10-16,2025-10-29,101101485,"PWA, eWAFE TIM 1.2 RoHS",1.0,2669.7088,04. PO Available to Peg,MAXIMO,,00788265,3610,4584573341,3,4584573341-3,,
6084195652-4,6084195652,4,2025-10-16,2025-10-16,101547775,BACK UP RING,6.0,88.60079999999999,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584556279,1,4584556279-1,,
6084195652-3,6084195652,3,2025-10-16,2025-10-16,101549836,O-RING 90 NITRILE,6.0,50.1294,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584556279,2,4584556279-2,,
6084195652-2,6084195652,2,2025-10-16,2025-10-16,101551205,SEAL POLYMYTE,6.0,175.7142,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584556279,3,4584556279-3,,
6084195652-1,6084195652,1,2025-10-16,2025-10-16,101552238,T-SEAL NITRILE,6.0,167.1114,04. PO Available to Peg,SAP - MANUAL Reservation,J.25.000982,PETTENGELL,3606,4584556279,4,4584556279-4,,
6084185906-2,6084185906,2,2025-10-16,2025-10-29,101046106,"POWER SUPPLY, TIM MODIFIED (Conformal C~",1.0,344.7702,05. No PO Available to Peg,MAXIMO,,00788265,3610,,,,,
6084135397-1,6084135397,1,2025-10-15,2025-10-15,100049772,"T SEAL, 114-11002-936-0680",5.0,215.5055,01. SOH Available to Peg,SAP - MANUAL Reservation,,RCUERDO,3606,,,,,
6084091022-1,6084091022,1,2025-10-14,2025-11-30,100193025,"SWITCH,HYDRAULIC PRESSURE",1.0,616.2258,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-3,6084091022,3,2025-10-14,2025-11-30,100263818,"ENCODER, INTRINSICALLY SAFE EXTREME DUT~",2.0,2319.767,01. SOH Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-4,6084091022,4,2025-10-14,2025-11-30,100289689,"ASSEMBLY, 25 M INTRINSICALLY SAFE (IS) ~",1.0,1203.2061,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,9,4584522378-9,,
6084091022-16,6084091022,16,2025-10-14,2025-11-30,100357439,"Assembly, DCU Programming Equipment Kit",2.0,2859.3322000000003,01. SOH Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-9,6084091022,9,2025-10-14,2025-11-30,100543071,"ASSEMBLY, 14 M INTRINSICALLY SAFE DATA ~",1.0,961.4902,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-17,6084091022,17,2025-10-14,2025-11-30,100608515,"CONNECTOR, BULKHEAD SOCKET FOR CAN AND ~",2.0,1621.0918,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,5,4584522378-5,,
6084091022-5,6084091022,5,2025-10-14,2025-11-30,100632245,"ASSEMBLY, WEIGHT INDICATOR GAUGE, ZONE ~",1.0,6571.447099999999,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522512,8,4584522512-8,,
6084091022-7,6084091022,7,2025-10-14,2025-11-30,100710444,"ASSEMBLY, 6 M INTRINSICALLY SAFE (IS) 4~",1.0,891.0263000000001,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,8,4584522378-8,,
6084091022-21,6084091022,21,2025-10-14,2025-11-30,100731313,"ASSEMBLY, COILCAT POWER SUPPLY, ZONE 2,~",1.0,10298.9251,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-6,6084091022,6,2025-10-14,2025-11-30,100772819,"ASSEMBLY, 6 M INTRINSICALLY SAFE ENCODE~",1.0,1333.7154,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,11,4584522378-11,,
6084091022-8,6084091022,8,2025-10-14,2025-11-30,100793568,"ASSEMBLY, 16M DE2 POWER AND CAN CONDUIT~",1.0,3067.461,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522512,6,4584522512-6,,
6084091022-11,6084091022,11,2025-10-14,2025-11-30,100829921,"ASSEMBLY, 45M DE2 POWER AND CAN CONDUIT",1.0,4597.9219,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522512,5,4584522512-5,,
6084091022-18,6084091022,18,2025-10-14,2025-11-30,101207513,"POWER SUPPLY, 24V/5A DC OUTPUT, 24V DC ~",2.0,697.135,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522375,1,4584522375-1,,
6084083282-4,6084083282,4,2025-10-14,2025-11-30,101548817,"GAUGE, 2.50 INCH, FACE, 0-160PSI, PANEL",1.0,127.5881,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,13,4584522723-13,,
6084083282-6,6084083282,6,2025-10-14,2025-11-30,101548818,"GAUGE, 2.50 INCH, FACE, 0-3000PSI, PANEL",1.0,127.5881,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,12,4584522723-12,,
6084083282-18,6084083282,18,2025-10-14,2025-11-30,101548819,"GAUGE, 2.50 INCH, FACE, 0-4000PSI, PANEL",2.0,255.1762,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,11,4584522723-11,,
6084083282-15,6084083282,15,2025-10-14,2025-11-30,101548821,"Gauge, 2.50 inch, Face, 0-6000psi, Pane~",3.0,382.7643000000001,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,10,4584522723-10,,
6084083282-13,6084083282,13,2025-10-14,2025-11-30,101548822,"GAUGE, 2.50 INCH, FACE, 0-600PSI, PANEL",1.0,127.5881,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,9,4584522723-9,,
6084083282-2,6084083282,2,2025-10-14,2025-11-30,101548874,"Gauge, Temperature, 2.50 inch Face, 0-1~",1.0,982.8364,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,8,4584522723-8,,
6084083282-19,6084083282,19,2025-10-14,2025-11-30,101548875,"GAUGE, TEMPERATURE, 2.50 INCH FACE, 0-25",1.0,982.8364,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,7,4584522723-7,,
6084083282-22,6084083282,22,2025-10-14,2025-11-30,101552470,"VALVE, PRESSURE, REDUCING         PREVIO",1.0,342.18240000000003,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,6,4584522723-6,,
6084091022-19,6084091022,19,2025-10-14,2025-11-30,101961885,"SD CARD/MICRO SD CARD WITH ADAPTER, MEM~",1.0,0.0067,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084083282-21,6084083282,21,2025-10-14,2025-11-30,102068358,"GAUGE, PRESSURE 0-100PSI 2.50 0.25NPT BM",1.0,127.5881,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,5,4584522723-5,,
6084083282-20,6084083282,20,2025-10-14,2025-11-30,102068359,SUN VALVE IN-LINE FILTER,3.0,598.779,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,4,4584522723-4,,
6084083282-1,6084083282,1,2025-10-14,2025-11-30,102097144,"VALVE, RELIEF, BSP, W-23VR-0007",1.0,1405.392,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,3,4584522723-3,,
6084091022-20,6084091022,20,2025-10-14,2025-11-30,102815756,"ENCODER BARRIER, INTRINSIC SAFETY, BEI",2.0,2373.7028,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522512,4,4584522512-4,,
6084091022-29,6084091022,29,2025-10-14,2025-11-30,103337406,"CIRCUIT, SBRIO9603, 1GB RAM, INTEL E380~",1.0,2224.4938,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522512,3,4584522512-3,,
6084091022-24,6084091022,24,2025-10-14,2025-11-30,103348569,"MODULE, PLC, SPRING, NI 9253 OEM, 8CH A~",1.0,1238.7295,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,13,4584522378-13,,
6084101143-2,6084101143,2,2025-10-14,2025-10-14,103376441,"KIT, TX FEEDTHRU INSULATOR",5.0,2018.5425,05. No PO Available to Peg,SAP - MANUAL Reservation,,harsh,3606,,,,,
6084091022-26,6084091022,26,2025-10-14,2025-11-30,103465295,"ENCODER BARRIER, 5V OUT, INTRINSIC SAFE~",1.0,0.0067,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-27,6084091022,27,2025-10-14,2025-11-30,103477540,"BARRIER, 4-20MA TRANSMITTER SUPPLY UNIT~",2.0,1403.0872,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,4,4584522378-4,,
6084091022-25,6084091022,25,2025-10-14,2025-11-30,104221138,"KIT, INSTALLATION, NI POWERPACKSIM, WIT~",1.0,16547.9816,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-28,6084091022,28,2025-10-14,2025-11-30,104221436,"BULKHEAD, CONNECTOR 5 PIN MALE, M20 MAL~",3.0,1766.8302,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,6,4584522378-6,,
6084091022-32,6084091022,32,2025-10-14,2025-11-30,104369626,"MODULE, NI 9423, 24V, 8-CH SINKING DI, ~",1.0,670.0,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,3,4584522378-3,,
6084091022-34,6084091022,34,2025-10-14,2025-11-30,104381708,"BULKHEAD, CONNECTOR 4 PIN FEMALE, M20 M~",3.0,1376.4882000000002,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,2,4584522378-2,,
6084091022-31,6084091022,31,2025-10-14,2025-11-30,104381709,"BULKHEAD, CONNECTOR 7 PIN FEMALE, M20 M~",3.0,1426.899,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522378,1,4584522378-1,,
6084083282-3,6084083282,3,2025-10-14,2025-11-30,104600856,"GAUGE, 0-5000PSI W-24GP-0039",1.0,152.7801,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522723,2,4584522723-2,,
6084091022-30,6084091022,30,2025-10-14,2025-11-30,104603263,"FUSE, 250V UL TL SL 1A TR5, WITH LEADS,~",3.0,2.01,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-10,6084091022,10,2025-10-14,2025-11-30,104663175,"ASSEMBLY, 45 M INTRINSICALLY SAFE ENCOD~",1.0,1384.3339,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-15,6084091022,15,2025-10-14,2025-11-30,104695606,"VALVE, SOLENOID, IECEX and ATEX 24VDC C~",2.0,2285.2896,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
6084091022-35,6084091022,35,2025-10-14,2025-11-30,104905450,"ASSEMBLY, TESTED, ZONE 1 INJECTORSIM, R~",1.0,40096.0964,04. PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,4584522512,2,4584522512-2,,
6084091022-14,6084091022,14,2025-10-14,2025-11-30,104915303,"ASSEMBLY, TESTED, CTRI 2 Ex de, ZONE 2,~",1.0,26993.402200000004,05. No PO Available to Peg,SAP - MANUAL Reservation,J.26.012893,AAgarwal15,3606,,,,,
