Index,Material-Plant,Plant,Geo-Unit,GEO UNIT (Profit Center),Material,Reservation -Line,Requirements Date,Creation Date,Stock On Hand - DDSC,Stock On Hand - HDSC,Last 3 Month Consumption,Last 6 Month Consumption,Last 12 Month Consumption,Material Stratification (Last 6 Month Consumption),Material Stratification (Last 12 Month Consumption),Open Qty - Reservation,Open Reservation Value,Material/Plant-SOH - Total,Primary Pegged PO-LN - Open Qty,Combined SOH & PO Pegging,Main - PO Line to Peg to Reservation,Main - PO to Peg to Reservation,Additional PO - Line to Peg,Primary Pegged PO-LN - Order Qty,Primary Pegged PO-LN - Approval Status,Primary Pegged PO-LN - RDD Date,Pegged Main PO GR Status,Pegged Main PO Invoice Status,Primary Pegged PO-LN - Invoice Qty,Post Pegging SOH Qty,Post Pegging PO Qty,Material Description,MRP Parameters - MRP Controller,MRP Parameters - Profit Center,MRP Parameters - Planned Delivery Time,MRP Parameters - Prime Status,MRP Parameters - Safety Stock,MRP Parameters - Standard Price,Business Line - By Cost Center,Sub - Business Line - By Cost Center,Business Line by Profit Center,Material/Plant-Open PO Qty - Total,Purchase Requisition - Status,Purchase Requisitions,Planned Order - Status,Planned Orders,Maximo Asset ID,Maximo Asset Num,Maximo Serial No,Reservation Creation type,WO Number,User Name,Goods recipient,Maximo - WO STATUS and Part Status,WBS Element,Cost Center,reservation_line_id,reservation_number,reservation_line_number
1,106022760-3606,3606.0,APG,APG,106022760,6083042891-2,2025-09-29,2025-09-23,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,3.0,336.072,,3.0,04. PO Available to Peg,4584485476-2,4584485476,,3.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-3.0,0.0,"1.855"" OD JDC PULLING TOOL REDRESS KIT",ZZZ,110498.0,33.0,Non AR Part,0.0,112.024,RPI,WIS,RPI,3.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6083042891-2,6083042891,2
1,106022763-3606,3606.0,APG,APG,106022763,6083042891-3,2025-09-29,2025-09-23,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,3.0,4582.8,,3.0,04. PO Available to Peg,4584485476-3,4584485476,,3.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-3.0,0.0,"’JDC’ PULLING TOOL: (1.813"") GRAPPLE FOR",ZZZ,110498.0,33.0,Non AR Part,0.0,1527.6000000000001,RPI,WIS,RPI,3.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6083042891-3,6083042891,3
1,106022764-3606,3606.0,APG,APG,106022764,6083042891-4,2025-09-29,2025-09-23,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,320.79600000000005,,1.0,04. PO Available to Peg,4584485476-4,4584485476,,1.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"1-11/16"" OD PORTED CROSSOVER C/W 1"" AMMT",ZZZ,110498.0,33.0,Non AR Part,0.0,320.79600000000005,RPI,WIS,RPI,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6083042891-4,6083042891,4
1,106022767-3606,3606.0,APG,APG,106022767,6083042891-5,2025-09-29,2025-09-23,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,320.26,,1.0,04. PO Available to Peg,4584485476-5,4584485476,,1.0,Approved,2025-11-15,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"1.688"" OD PORTED CROSSOVER, W/ 1” AMMT B",ZZZ,110498.0,33.0,Non AR Part,0.0,320.26,RPI,WIS,RPI,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,02950517,cnevarez2,-,,AU100022,6083042891-5,6083042891,5
1,P499240-3606,3606.0,APG,APG,P499240,6083035585-8,2025-11-10,2025-09-23,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,5485.102400000001,,1.0,04. PO Available to Peg,4584493249-1,4584493249,,1.0,Approved,2025-11-05,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"AIR TANK 75L, 16 BAR, -20 TO 80 DEGC, O~",ZZZ,110516.0,130.0,Non AR Part,0.0,5485.102400000001,RPI,TTPS,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1046838235,SYS-MAXIMO,05170733,-,,AU100020,6083035585-8,6083035585,8
1,101273126-3606,3606.0,APG,APG,101273126,6082988810-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,480.35650000000004,,1.0,04. PO Available to Peg,4584484865-2,4584484865,,1.0,Approved,2025-10-26,Pending Full GR,PO is not Invoiced,,-1.0,0.0,INSULATING WASHER (OIL SIDE),ZZZ,110516.0,38.0,Non AR Part,0.0,480.35650000000004,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685071,,,,MAXIMO,1047144114,SYS-MAXIMO,80080752,-,,AU100070,6082988810-1,6082988810,1
1,101273128-3606,3606.0,APG,APG,101273128,6082987313-2,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,515.0357,,1.0,04. PO Available to Peg,4584484865-1,4584484865,,1.0,Approved,2025-10-26,Pending Full GR,PO is not Invoiced,,-1.0,0.0,INSULATING WASHER (AIR SIDE),ZZZ,110516.0,241.0,Non AR Part,0.0,515.0357,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685072,,,,MAXIMO,1047143713,SYS-MAXIMO,80080752,-,,AU100070,6082987313-2,6082987313,2
1,101474122-3606,3606.0,APG,APG,101474122,6082984066-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,6045.624400000001,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"HOUSING, BAILER, 60"", MIRAGE ADRM",ZZZ,110516.0,64.0,Non AR Part,0.0,3022.8122000000003,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1043856207,SYS-MAXIMO,80080752,-,,AU100070,6082984066-1,6082984066,1
1,103279070-3606,3606.0,APG,APG,103279070,6082984058-1,2025-09-22,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,8.0,8369.7472,,8.0,04. PO Available to Peg,4584460148-1,4584460148,,8.0,Approved,2025-09-13,Pending Full GR,PO is not Invoiced,,-8.0,0.0,"KIT, RTR/VANE, 3IN, STD GRD, FM, CEM MOD",ZZZ,110744.0,64.0,Non AR Part,0.0,1046.2184,,,RPS,8.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M:,80047617,Angela,-,J.24.007977,,6082984058-1,6082984058,1
1,104876100-3606,3606.0,APG,APG,104876100,6082985520-1,2025-09-22,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,6550.3488,,2.0,04. PO Available to Peg,4584573884-1,4584573884,,2.0,Approved,2025-11-11,Pending Full GR,PO is not Invoiced,,-2.0,0.0,"QUICK UNION CROSSOVER FOR 5,000 PSI WORK",ZZZ,110514.0,33.0,Non AR Part,0.0,3275.1744,RPE,WLES,RPI,2.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M:,06243349,KKEESE,-,,AU100070,6082985520-1,6082985520,1
1,B016888-3606,3606.0,APG,APG,B016888,6083033539-4,2025-09-22,2025-09-22,,,0.0,0.0,10.0,SLOW MOVER,STRANGER,1.0,2.3948,,10.0,04. PO Available to Peg,4584581365-1,4584581365,,10.0,Approved,2025-09-17,Pending Full GR,PO is not Invoiced,,-1.0,9.0,"CAP, TAPERED 0.975 IN(24.77 MM) OD x 0.~",ZZZ,110514.0,38.0,Non AR Part,0.0,2.479,RPI,WLPS,RPI,10.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,00869610,jpereira11,-,,AU100063,6083033539-4,6083033539,4
1,H348515-3606,3606.0,APG,APG,H348515,6083033539-2,2025-09-22,2025-09-22,4.0,1.0,0.0,1.0,2.0,STRANGER,STRANGER,1.0,142.4854,1.0,,01. SOH Available to Peg,,,,,,,,,,0.0,0.0,"WRENCH, ALIGNING 1.56 HSD",ZZZ,110516.0,21.0,AR Part,0.0,147.4938,RPI,WLPS,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,00869610,jpereira11,-,,AU100063,6083033539-2,6083033539,2
1,H348545-3606,3606.0,APG,APG,H348545,6083033539-3,2025-09-22,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,1292.5506,,1.0,04. PO Available to Peg,4584581369-1,4584581369,,1.0,Approved,2025-09-17,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"INSTALLATION TOOL, O-RING, 50,8[2,00] H~",ZZZ,110516.0,102.0,Non AR Part,0.0,1292.5506,RPI,WLPS,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,00869610,jpereira11,-,,AU100063,6083033539-3,6083033539,3
1,H348599-3606,3606.0,APG,APG,H348599,6083033539-1,2025-09-22,2025-09-22,,1.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,194.78240000000002,,1.0,04. PO Available to Peg,4584581369-2,4584581369,,1.0,Approved,2025-09-17,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"GUIDE SLEEVE 50,8[2,00] HSD CARRIER",ZZZ,110516.0,36.0,Non AR Part,0.0,194.78240000000002,RPI,WLPS,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,00869610,jpereira11,-,,AU100063,6083033539-1,6083033539,1
2,101273126-3606,3606.0,APG,APG,101273126,6082988806-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,480.35650000000004,,6.0,04. PO Available to Peg,4584485026-2,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-2.0,5.0,INSULATING WASHER (OIL SIDE),ZZZ,110516.0,38.0,Non AR Part,0.0,480.35650000000004,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685071,,,,MAXIMO,1047143844,SYS-MAXIMO,80080752,-,,AU100070,6082988806-1,6082988806,1
2,101273128-3606,3606.0,APG,APG,101273128,6082988806-2,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,515.0357,,6.0,04. PO Available to Peg,4584485026-1,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-2.0,5.0,INSULATING WASHER (AIR SIDE),ZZZ,110516.0,241.0,Non AR Part,0.0,515.0357,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685072,,,,MAXIMO,1047143844,SYS-MAXIMO,80080752,-,,AU100070,6082988806-2,6082988806,2
2,101474122-3606,3606.0,APG,APG,101474122,6082984068-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,6045.624400000001,,,05. No PO Available to Peg,,,,,,,,,,-4.0,0.0,"HOUSING, BAILER, 60"", MIRAGE ADRM",ZZZ,110516.0,64.0,Non AR Part,0.0,3022.8122000000003,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1043855982,SYS-MAXIMO,80080752,-,,AU100070,6082984068-1,6082984068,1
3,101273126-3606,3606.0,APG,APG,101273126,6082988472-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,480.35650000000004,,6.0,04. PO Available to Peg,4584485026-2,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-3.0,4.0,INSULATING WASHER (OIL SIDE),ZZZ,110516.0,38.0,Non AR Part,0.0,480.35650000000004,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685071,,,,MAXIMO,1047137798,SYS-MAXIMO,80080752,-,,AU100070,6082988472-1,6082988472,1
3,101273128-3606,3606.0,APG,APG,101273128,6082988472-2,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,515.0357,,6.0,04. PO Available to Peg,4584485026-1,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-3.0,4.0,INSULATING WASHER (AIR SIDE),ZZZ,110516.0,241.0,Non AR Part,0.0,515.0357,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685072,,,,MAXIMO,1047137798,SYS-MAXIMO,80080752,-,,AU100070,6082988472-2,6082988472,2
4,101273126-3606,3606.0,APG,APG,101273126,6082988770-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,480.35650000000004,,6.0,04. PO Available to Peg,4584485026-2,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-4.0,3.0,INSULATING WASHER (OIL SIDE),ZZZ,110516.0,38.0,Non AR Part,0.0,480.35650000000004,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685071,,,,MAXIMO,1047144032,SYS-MAXIMO,80080752,-,,AU100070,6082988770-1,6082988770,1
4,101273128-3606,3606.0,APG,APG,101273128,6082987304-2,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,515.0357,,6.0,04. PO Available to Peg,4584485026-1,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-4.0,3.0,INSULATING WASHER (AIR SIDE),ZZZ,110516.0,241.0,Non AR Part,0.0,515.0357,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685072,,,,MAXIMO,1047137976,SYS-MAXIMO,80080752,-,,AU100070,6082987304-2,6082987304,2
5,101273126-3606,3606.0,APG,APG,101273126,6082987304-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,480.35650000000004,,6.0,04. PO Available to Peg,4584485026-2,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-5.0,2.0,INSULATING WASHER (OIL SIDE),ZZZ,110516.0,38.0,Non AR Part,0.0,480.35650000000004,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685071,,,,MAXIMO,1047137976,SYS-MAXIMO,80080752,-,,AU100070,6082987304-1,6082987304,1
5,101273128-3606,3606.0,APG,APG,101273128,6082988770-2,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,515.0357,,6.0,04. PO Available to Peg,4584485026-1,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-5.0,2.0,INSULATING WASHER (AIR SIDE),ZZZ,110516.0,241.0,Non AR Part,0.0,515.0357,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685072,,,,MAXIMO,1047144032,SYS-MAXIMO,80080752,-,,AU100070,6082988770-2,6082988770,2
6,101273126-3606,3606.0,APG,APG,101273126,6082987313-1,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,480.35650000000004,,6.0,04. PO Available to Peg,4584485026-2,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-6.0,1.0,INSULATING WASHER (OIL SIDE),ZZZ,110516.0,38.0,Non AR Part,0.0,480.35650000000004,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685071,,,,MAXIMO,1047143713,SYS-MAXIMO,80080752,-,,AU100070,6082987313-1,6082987313,1
6,101273128-3606,3606.0,APG,APG,101273128,6082988810-2,2025-11-30,2025-09-22,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,515.0357,,6.0,04. PO Available to Peg,4584485026-1,4584485026,,6.0,Approved,2025-11-25,Pending Full GR,PO is not Invoiced,,-6.0,1.0,INSULATING WASHER (AIR SIDE),ZZZ,110516.0,241.0,Non AR Part,0.0,515.0357,RPE,WLES,RPE,7.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1028685072,,,,MAXIMO,1047144114,SYS-MAXIMO,80080752,-,,AU100070,6082988810-2,6082988810,2
1,103391884-3606,3606.0,APG,APG,103391884,6082835763-1,2025-12-01,2025-09-19,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,11713.6234,,2.0,04. PO Available to Peg,4584481545-2,4584481545,,2.0,Approved,2025-11-26,Pending Full GR,PO is not Invoiced,,-2.0,0.0,"KIT, IPAD MINI, ZONE 1 CERTIFIED, MTECO",ZZZ,110498.0,245.0,Non AR Part,0.0,5856.8117,RPI,WIS,RPI,2.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1046911334,SYS-MAXIMO,80045394,-,,AU100022,6082835763-1,6082835763,1
1,P790396-3606,3606.0,APG,APG,P790396,6082835899-1,2025-10-15,2025-09-19,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,832.0864000000001,,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,"WEAR RING 3""5/8 X 3""7/8 ASSEMBLY",ZZZ,110516.0,257.0,Non AR Part,0.0,832.0864000000001,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1046741907,SYS-MAXIMO,80080752,-,,AU100070,6082835899-1,6082835899,1
1,100195794-3606,3606.0,APG,APG,100195794,6082623826-1,2025-09-29,2025-09-14,90.0,15.0,0.0,2.0,2.0,STRANGER,STRANGER,20.0,1913.1999999999998,20.0,,01. SOH Available to Peg,,,,,,,,,,0.0,0.0,DISC:RUPTURE;1000 PSI BURST,ZZZ,110498.0,18.0,Non AR Part,0.0,110.52320000000002,,,RPI,0.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1017255825,,,,SAP - MANUAL Reservation,M: BURST DISC,00710640,PETTENGELL,-,J.24.079735,,6082623826-1,6082623826,1
1,B012733-3650,3650.0,APG,APG,B012733,6082624186-2,2025-09-14,2025-09-14,6427.0,1504.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,20.0,2.798,,,04. PO Available to Peg,4584477310-2,4584477310,,,,,Pending Full GR,PO Invoiced Partially,20.0,-20.0,0.0,"O-RING;007,0.145 IN,0.07 IN,FKM,95A",ZZZ,110945.0,14.0,Non AR Part,0.0,0.1488,RPE,WLES,RPE,20.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: ECRD,05867015,ckok3,-,,NZ100028,6082624186-2,6082624186,2
1,H624054-3650,3650.0,APG,APG,H624054,6082624186-1,2025-09-14,2025-09-14,22.0,34.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,20.0,1662.158,20.0,,01. SOH Available to Peg,,,,,,,,,,0.0,0.0,"FEED-THRU, PLASTIC SLIM BODY, 2.34 L",ZZZ,110945.0,14.0,Non AR Part,0.0,88.3686,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,M: ECRD,05867015,ckok3,-,,NZ100028,6082624186-1,6082624186,1
1,101025397-3606,3606.0,APG,APG,101025397,6082576301-1,2025-10-31,2025-09-13,2.0,2.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,5.0,514.369,,,05. No PO Available to Peg,,,,,,,,,,-5.0,0.0,T-SEAL ASSEMBLY - 2.677 PISTON,ZZZ,110516.0,18.0,Non AR Part,0.0,106.4898,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,16175199490.0,XPS-CA|941,941,MAXIMO,1046468510,SYS-MAXIMO,02980787,-PENDING,,AU100070,6082576301-1,6082576301,1
1,102962037-3606,3606.0,APG,APG,102962037,6082536280-1,2025-10-31,2025-09-13,0.0,2.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,4.0,11596.1684,4.0,,01. SOH Available to Peg,,,,,,,,,,0.0,0.0,"CLAMP, COILED TUBING, CROSBY SWIVEL, F/~",ZZZ,110498.0,21.0,Non AR Part,0.0,3000.9434000000006,,,RPI,0.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,00710640,PETTENGELL,-,J.25.000982,,6082536280-1,6082536280,1
1,B036227-3606,3606.0,APG,APG,B036227,6082576301-4,2025-10-31,2025-09-13,471.0,73.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,5.0,1.1975,,,05. No PO Available to Peg,,,,,,,,,,-5.0,0.0,"O-RING;011,0.301 IN,0.07 IN,FKM,95 DURO",ZZZ,110492.0,21.0,Non AR Part,0.0,0.2479,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,16175199490.0,XPS-CA|941,941,MAXIMO,1046468510,SYS-MAXIMO,02980787,-PENDING,,AU100070,6082576301-4,6082576301,4
1,B039334-3606,3606.0,APG,APG,B039334,6082576301-3,2025-10-31,2025-09-13,366.0,54.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,5.0,1.7999999999999998,20.0,,01. SOH Available to Peg,,,,,,,,,,15.0,0.0,"O-RING;109,0.299 IN,0.103 IN,FKM,95",ZZZ,110492.0,21.0,Non AR Part,0.0,0.3886,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,16175199490.0,XPS-CA|941,941,MAXIMO,1046468510,SYS-MAXIMO,02980787,-PENDING,,AU100070,6082576301-3,6082576301,3
2,100395584-3606,3606.0,APG,APG,100395584,6082576301-5,2025-10-31,2025-09-13,6.0,,1.0,1.0,1.0,STRANGER,STRANGER,1.0,1219.1586,,,05. No PO Available to Peg,,,,,,,,,,-2.0,0.0,"Maintenance Kit, SLS1, XPT-B&C",ZZZ,110516.0,18.0,Non AR Part,0.0,1262.012,RPE,WLES,RPE,0.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1034735254,16175199490.0,XPS-CA|941,941,MAXIMO,1046468510,SYS-MAXIMO,02980787,-PENDING,,AU100070,6082576301-5,6082576301,5
2,101025396-3606,3606.0,APG,APG,101025396,6082576301-2,2025-10-31,2025-09-13,3.0,5.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,5.0,672.5,7.0,,01. SOH Available to Peg,,,,,,,,,,0.0,0.0,T-SEAL ASSEMBLY - 1.533 ROD,ZZZ,110516.0,18.0,AR Part,0.0,151.03810000000001,RPE,WLES,RPE,0.0,No Purchase Requisition,,NO PLD ORDER,,16175199490.0,XPS-CA|941,941,MAXIMO,1046468510,SYS-MAXIMO,02980787,-PENDING,,AU100070,6082576301-2,6082576301,2
3,100395584-3606,3606.0,APG,APG,100395584,6082576218-1,2025-10-31,2025-09-13,6.0,,1.0,1.0,1.0,STRANGER,STRANGER,1.0,1219.1586,,,05. No PO Available to Peg,,,,,,,,,,-3.0,0.0,"Maintenance Kit, SLS1, XPT-B&C",ZZZ,110516.0,18.0,Non AR Part,0.0,1262.012,RPE,WLES,RPE,0.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1034735254,7696419490.0,XPAMS-BA|755,755,MAXIMO,1046468458,SYS-MAXIMO,02980787,-PENDING,,AU100070,6082576218-1,6082576218,1
1,100293411-3606,3606.0,APG,APG,100293411,6082483899-1,2025-10-06,2025-09-12,,1.0,0.0,3.0,3.0,STRANGER,STRANGER,2.0,4110.7184,,1.0,04. PO Available to Peg,4584484928-5,4584484928,4584632535-00002  &  4584484928-00005,1.0,Approved,2025-12-15,Pending Full GR,PO is not Invoiced,,-2.0,0.0,J968505 Monopole TX SHIPPING PACKAGE,ZZZ,110516.0,18.0,Non AR Part,0.0,2127.6051,RPS,WPS,RPE,2.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1027090772,6646619490.0,MAMS-CA|8385,8385,MAXIMO,1046331980,SYS-MAXIMO,02832673,-PENDING,,AU100314,6082483899-1,6082483899,1
1,100490001-3606,3606.0,APG,APG,100490001,6082483899-7,2025-11-24,2025-09-12,,1.0,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,1538.87,,1.0,04. PO Available to Peg,4584632357-3,4584632357,,1.0,Approved,2025-11-19,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"HOUSING, EQUALIZING PISTON, MAMS-CA",ZZZ,110516.0,142.0,Non AR Part,0.0,1726.3220000000001,RPS,WPS,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,MAXIMO,1046331980,SYS-MAXIMO,02832673,-,,AU100314,6082483899-7,6082483899,7
1,101317586-3606,3606.0,APG,APG,101317586,6082477765-1,2025-09-12,2025-09-12,,1.0,0.0,1.0,1.0,STRANGER,STRANGER,1.0,4828.7314,,,05. No PO Available to Peg,,,,,,,,,,-1.0,0.0,DIESEL FILTRATION UNIT TO REMOVE WATER ~,ZZZ,110516.0,71.0,Non AR Part,0.0,4998.461300000001,RPE,WLES,RPE,0.0,No Purchase Requisition,,PLANNED ORDER Available Convert to Purchase Requisition,1027090615,,,,SAP - MANUAL Reservation,,02307312,FHERWANTO,-,,AU100070,6082477765-1,6082477765,1
1,101408992-3606,3606.0,APG,APG,101408992,6082483899-2,2025-10-13,2025-09-12,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,6300.948,,1.0,04. PO Available to Peg,4584485046-1,4584485046,,1.0,Approved,2025-10-08,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"PWA, MAMS202/MAXS206 CONTROLLER",ZZZ,110516.0,751.0,Non AR Part,0.0,6300.948,RPS,WPS,RPE,1.0,No Purchase Requisition,,NO PLD ORDER,,6646619490.0,MAMS-CA|8385,8385,MAXIMO,1046331980,SYS-MAXIMO,02832673,-PENDING,,AU100314,6082483899-2,6082483899,2
1,104221435-3606,3606.0,APG,APG,104221435,6082478331-1,2025-10-30,2025-09-12,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,2.0,9759.890000000001,,2.0,04. PO Available to Peg,4584493445-1,4584493445,,2.0,Approved,2025-10-25,Pending Full GR,PO is not Invoiced,,-2.0,0.0,"CABLE, 45M, DE2 PLUG 5 PIN TO DR4 FEMAL~",ZZZ,110498.0,112.0,Non AR Part,0.0,4879.945000000001,RPI,WIS,RPI,3.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,05211420,AAgarwal15,-,,AU100450,6082478331-1,6082478331,1
1,104623262-3606,3606.0,APG,APG,104623262,6082478331-3,2025-10-30,2025-09-12,,,0.0,0.0,0.0,SLOW MOVER,SLOW MOVER,1.0,35644.0,,1.0,04. PO Available to Peg,4584481545-1,4584481545,,1.0,Approved,2025-10-27,Pending Full GR,PO is not Invoiced,,-1.0,0.0,"KIT, INSTALLATION, ZONE 1 INJECTORSIM",ZZZ,110498.0,48.0,Non AR Part,0.0,35644.0,RPI,WIS,RPI,1.0,No Purchase Requisition,,NO PLD ORDER,,,,,SAP - MANUAL Reservation,,05211420,AAgarwal15,-,,AU100450,6082478331-3,6082478331,3
